Category,Min Trust Score,Max Trust Score,Avg Trust Score
yoga_meditation?page=1,4.2,4.9,4.73
yoga_meditation?page=2,4.2,4.6,4.375
yoga_meditation?page=3,3.9,4.2,4.045
yoga_meditation?page=4,3.5,3.8,3.705
yoga_meditation?page=5,2.4,3.5,3.13
administration_services?page=1,4.9,5.0,4.94
administration_services?page=2,4.9,4.9,4.9
administration_services?page=3,4.9,4.9,4.9
administration_services?page=4,4.8,4.9,4.835
administration_services?page=5,4.8,4.8,4.8
administration_services?page=6,4.8,4.8,4.8
administration_services?page=7,4.7,4.8,4.735
administration_services?page=8,4.7,4.7,4.7
administration_services?page=9,4.7,4.7,4.7
administration_services?page=10,4.6,4.7,4.6049999999999995
administration_services?page=11,4.5,4.6,4.58
administration_services?page=12,4.5,4.5,4.5
administration_services?page=13,4.4,4.5,4.41
administration_services?page=14,4.2,4.4,4.335
administration_services?page=15,4.1,4.2,4.175
administration_services?page=16,3.9,4.1,3.995
administration_services?page=17,2.5,3.8,3.35
administration_services?page=18,1.2,5.0,4.54
administration_services?page=19,4.9,5.0,4.905
administration_services?page=20,4.9,4.9,4.9
administration_services?page=21,4.9,4.9,4.9
administration_services?page=22,4.9,4.9,4.9
administration_services?page=23,4.8,4.9,4.890000000000001
administration_services?page=24,4.8,4.8,4.8
administration_services?page=25,4.8,4.8,4.8
administration_services?page=26,4.8,4.8,4.8
administration_services?page=27,4.8,4.8,4.8
administration_services?page=28,4.8,4.8,4.8
administration_services?page=29,4.8,4.8,4.8
administration_services?page=30,4.7,4.8,4.73
administration_services?page=31,4.7,4.7,4.7
administration_services?page=32,4.7,4.7,4.7
administration_services?page=33,4.7,4.7,4.7
administration_services?page=34,4.7,4.7,4.7
administration_services?page=35,4.7,4.7,4.7
administration_services?page=36,4.6,4.7,4.67
administration_services?page=37,4.6,4.6,4.6
administration_services?page=38,4.6,4.6,4.6
administration_services?page=39,4.6,4.6,4.6
administration_services?page=40,4.6,4.6,4.6
administration_services?page=41,4.6,4.6,4.6
administration_services?page=42,4.6,4.6,4.6
administration_services?page=43,4.5,4.6,4.505
administration_services?page=44,4.5,4.5,4.5
administration_services?page=45,4.5,4.5,4.5
administration_services?page=46,4.5,4.5,4.5
administration_services?page=47,4.5,4.5,4.5
administration_services?page=48,4.4,4.5,4.49
administration_services?page=49,4.4,4.4,4.4
administration_services?page=50,4.4,4.4,4.4
administration_services?page=51,4.4,4.4,4.4
administration_services?page=52,4.4,4.4,4.4
administration_services?page=53,4.4,4.4,4.4
administration_services?page=54,4.4,4.4,4.4
administration_services?page=55,4.4,4.4,4.4
administration_services?page=56,4.3,4.4,4.345
administration_services?page=57,4.3,4.3,4.3
administration_services?page=58,4.3,4.3,4.3
administration_services?page=59,4.3,4.3,4.3
administration_services?page=60,4.3,4.3,4.3
administration_services?page=61,4.3,4.3,4.3
administration_services?page=62,4.3,4.3,4.3
administration_services?page=63,4.3,4.3,4.3
administration_services?page=64,4.2,4.3,4.28
administration_services?page=65,4.2,4.2,4.2
administration_services?page=66,4.2,4.2,4.2
administration_services?page=67,4.2,4.2,4.2
administration_services?page=68,4.2,4.2,4.2
administration_services?page=69,4.2,4.2,4.2
administration_services?page=70,4.1,4.2,4.16
administration_services?page=71,4.1,4.1,4.1
administration_services?page=72,4.1,4.1,4.1
administration_services?page=73,4.1,4.1,4.1
administration_services?page=74,4.1,4.1,4.1
administration_services?page=75,4.1,4.1,4.1
administration_services?page=76,4.1,4.1,4.1
administration_services?page=77,4.0,4.1,4.015
administration_services?page=78,4.0,4.0,4.0
administration_services?page=79,4.0,4.0,4.0
administration_services?page=80,4.0,4.0,4.0
administration_services?page=81,4.0,4.0,4.0
administration_services?page=82,4.0,4.0,4.0
administration_services?page=83,4.0,4.0,4.0
administration_services?page=84,4.0,4.0,4.0
administration_services?page=85,4.0,4.0,4.0
administration_services?page=86,4.0,4.0,4.0
administration_services?page=87,4.0,4.0,4.0
administration_services?page=88,4.0,4.0,4.0
administration_services?page=89,4.0,4.0,4.0
administration_services?page=90,3.9,4.0,3.985
administration_services?page=91,3.9,3.9,3.9
administration_services?page=92,3.9,3.9,3.9
administration_services?page=93,3.8,3.9,3.87
administration_services?page=94,3.8,3.8,3.8
administration_services?page=95,3.8,3.8,3.8
administration_services?page=96,3.8,3.8,3.8
administration_services?page=97,3.8,3.8,3.8
